Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part number
BOOT_BUTTON,50.97,106.91,180,BUTTON_CUSYOMV1,MYBUTTON,
C1,161.37,4.94,90,100nF,EAGLE-LTSPICE_C0402,
C10,62.77,106.44,90,100nF,EAGLE-LTSPICE_C0402,
C10_SUPERCAP,97.54,50.11,270,CPH3225A,CAPCP3225X100N,
C1_BAT,118.83,51.95,0,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT1,117.88,40.07,0,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT2,129.73,43.22,90,4.7uF,EAGLE-LTSPICE_C0402,
C2,160.07,4.92,90,100nF,EAGLE-LTSPICE_C0402,
C2_BAT,129.35,54.76,270,4.7uF,EAGLE-LTSPICE_C0402,
C3,126.2,42.01,90,100uF TANT,RCL_CT3528,
C4,100.51,29.85,90,4.7uF/25V,EAGLE-LTSPICE_C0402,
C4_USB,156.06,45.47,0,100nF,EAGLE-LTSPICE_C0402,
C5,22.69,106.38,90,1uF,EAGLE-LTSPICE_C0402,
C5_USB,156.07,46.87,0,4.7uF,EAGLE-LTSPICE_C0402,
C6,47.77,106.48,90,100nF,EAGLE-LTSPICE_C0402,
C7,79.12,24.71,270,10uF,EAGLE-LTSPICE_C0402,
C8,90.82,46.47,180,100nF,EAGLE-LTSPICE_C0402,
C9,10.33,97.84,270,100nF,EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,66.04,106.91,180,BUTTON_CUSYOMV1,MYBUTTON,
CHG_LED,115.65,53.44,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,53.79,99.13,270,100nF,EAGLE-LTSPICE_C0402,
D1,155.48,49.47,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,38.33,49.42,90,PGB1010603MR,DIOC1608X36N,
D11,54.63,39,90,PGB1010603MR,DIOC1608X36N,
D12,56.33,38.98,90,PGB1010603MR,DIOC1608X36N,
D2,117.52,42.89,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
